Area_M,Region_M,Location
Freshwater/Terrestrial,Freshwater/Terrestrial,Aguascalientes
Pacific,G. Of California,Baja California
Pacific,G. Of California,Baja California Sur
Atlantic,B Camp. Caribe,Campeche
Freshwater/Terrestrial,Freshwater/Terrestrial,Coahuila
Pacific,Central Pacific,Colima
Pacific,South Pacific,Chiapas
Freshwater/Terrestrial,Freshwater/Terrestrial,Chihuahua
Freshwater/Terrestrial,Freshwater/Terrestrial,Durango
Freshwater/Terrestrial,Freshwater/Terrestrial,Guanajuato
Pacific,Central Pacific,Guerrero
Freshwater/Terrestrial,Freshwater/Terrestrial,Hidalgo
Pacific,Central Pacific,Jalisco
Freshwater/Terrestrial,Freshwater/Terrestrial,Distrito Federal
Pacific,Central Pacific,Michoacan
Freshwater/Terrestrial,Freshwater/Terrestrial,Morelos
Pacific,Central Pacific,Nayarit
Freshwater/Terrestrial,Freshwater/Terrestrial,Nuevo Leon
Pacific,South Pacific,Oaxaca
Freshwater/Terrestrial,Freshwater/Terrestrial,Puebla
Freshwater/Terrestrial,Freshwater/Terrestrial,Queretaro
Atlantic,B Camp. Caribe,Quintana Roo
Freshwater/Terrestrial,Freshwater/Terrestrial,San Luis Potosi
Pacific,G. Of California,Sinaloa
Pacific,G. Of California,Sonora
Atlantic,W. G. Of Mexico,Tabasco
Atlantic,W. G. Of Mexico,Tamaulipas
Freshwater/Terrestrial,Freshwater/Terrestrial,Tlaxcala
Atlantic,W. G. Of Mexico,Veracruz
Atlantic,B Camp. Caribe,Yucatan
Freshwater/Terrestrial,Freshwater/Terrestrial,Zacatecas
National,NA,Multiple States
National,NA,Multiplos Estados
Freshwater/Terrestrial,Freshwater/Terrestrial,Mexico
